key;value
288;288
306;306
11;12
491;491
134;135
158;159
160;161
215;216
464;464
29;30
131;132
391;391
249;250
478;478
207;208
300;300
384;384
173;174
289;289
499;499
74;75
201;202
435;435
477;477
176;177
57;58
31;32
285;285
490;490
70;71
318;318
33;34
335;335
479;479
445;445
252;253
114;115
165;166
96;97
133;134
354;354
328;328
473;473
49;50
84;85
327;327
511;511
489;489
230;231
117;118
93;94
425;425
284;284
50;51
77;78
80;81
311;311
248;249
326;326
474;474
227;228
188;189
441;441
132;133
195;196
157;158
412;412
447;447
264;264
231;232
353;353
430;430
221;222
153;154
401;401
217;218
79;80
302;302
71;72
506;506
120;121
154;155
225;226
390;390
76;77
184;185
224;225
167;168
213;214
204;205
122;123
143;144
414;414
62;63
107;108
169;170
287;287
21;22
484;484
416;416
10;11
102;103
180;181
294;294
162;163
129;130
280;280
88;89
240;241
260;260
429;429
413;413
251;252
261;261
149;150
439;439
5;6
463;463
63;64
472;472
438;438
331;331
501;501
41;42
15;16
245;246
461;461
148;149
210;211
495;495
55;56
66;67
462;462
239;240
155;156
150;151
209;210
296;296
344;344
95;96
139;140
236;237
90;91
111;112
14;15
396;396
483;483
175;176
205;206
253;254
258;258
212;213
200;201
308;308
310;310
265;265
269;269
282;282
135;136
125;126
172;173
146;147
130;131
314;314
17;18
65;66
452;452
202;203
492;492
44;45
250;251
324;324
37;38
394;394
419;419
453;453
466;466
192;193
436;436
110;111
127;128
475;475
13;14
309;309
270;270
450;450
99;100
137;138
141;142
105;106
30;31
1;2
47;48
216;217
339;339
366;366
226;227
214;215
307;307
91;92
43;44
9;10
128;129
203;204
147;148
379;379
470;470
104;105
352;352
244;245
348;348
273;273
183;184
468;468
103;104
320;320
345;345
152;153
38;39
118;119
465;465
488;488
48;49
100;101
411;411
81;82
140;141
291;291
422;422
196;197
19;20
268;268
378;378
281;281
51;52
243;244
454;454
191;192
177;178
277;277
123;124
255;256
312;312
317;317
424;424
427;427
446;446
358;358
485;485
163;164
405;405
276;276
301;301
108;109
164;165
508;508
329;329
2;3
89;90
241;242
370;370
197;198
136;137
151;152
365;365
144;145
142;143
400;400
342;342
283;283
375;375
509;509
78;79
159;160
494;494
448;448
112;113
372;372
407;407
106;107
459;459
433;433
121;122
109;110
182;183
26;27
279;279
368;368
298;298
387;387
138;139
350;350
4;5
292;292
457;457
235;236
168;169
440;440
94;95
290;290
115;116
54;55
418;418
40;41
101;102
211;212
373;373
171;172
359;359
455;455
0;1
337;337
60;61
34;35
332;332
334;334
417;417
481;481
299;299
467;467
178;179
363;363
426;426
198;199
238;239
313;313
272;272
503;503
482;482
493;493
469;469
113;114
293;293
295;295
12;13
242;243
343;343
189;190
410;410
246;247
16;17
297;297
364;364
374;374
398;398
507;507
471;471
208;209
505;505
393;393
456;456
497;497
443;443
274;274
380;380
262;262
92;93
72;73
28;29
338;338
449;449
480;480
369;369
97;98
362;362
377;377
68;69
124;125
267;267
275;275
360;360
39;40
46;47
85;86
486;486
170;171
25;26
382;382
42;43
181;182
58;59
193;194
59;60
8;9
333;333
428;428
356;356
199;200
323;323
254;255
247;248
185;186
458;458
20;21
194;195
52;53
18;19
233;234
266;266
388;388
403;403
234;235
69;70
406;406
421;421
232;233
355;355
219;220
367;367
223;224
451;451
166;167
278;278
187;188
35;36
83;84
336;336
351;351
397;397
64;65
434;434
487;487
286;286
408;408
257;257
220;221
145;146
259;259
444;444
392;392
460;460
263;263
45;46
357;357
346;346
86;87
67;68
126;127
206;207
32;33
229;230
316;316
190;191
385;385
303;303
82;83
7;8
75;76
442;442
228;229
432;432
381;381
87;88
237;238
386;386
510;510
376;376
179;180
395;395
3;4
61;62
325;325
347;347
437;437
500;500
383;383
404;404
330;330
431;431
409;409
36;37
340;340
402;402
504;504
98;99
304;304
476;476
399;399
361;361
174;175
319;319
371;371
161;162
341;341
186;187
321;321
389;389
415;415
420;420
22;23
6;7
24;25
73;74
119;120
423;423
156;157
222;223
53;54
116;117
271;271
23;24
502;502
498;498
305;305
315;315
322;322
349;349
27;28
496;496
218;219
56;57
